NAMESPACE           NAME                                        READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                           IMAGES                                                                                                                                                                                                                                                    SELECTOR
argo-events         controller-manager                          1/1     1            1           287d    controller-manager                   quay.io/argoproj/argo-events:v1.9.6                                                                                                                                                                                                                       app=controller-manager
argo-events         events-webhook                              1/1     1            1           287d    webhook                              quay.io/argoproj/argo-events:v1.9.6                                                                                                                                                                                                                       app=events-webhook
argo-events         oam-application-watcher-eventsource-lqg4k   0/1     1            0           286d    main                                 quay.io/argoproj/argo-events:v1.9.6                                                                                                                                                                                                                       controller=eventsource-controller,eventsource-name=oam-application-watcher,owner-name=oam-application-watcher
argo-events         oam-to-slack-api-sensor-m2qtj               0/1     1            0           286d    main                                 quay.io/argoproj/argo-events:v1.9.6                                                                                                                                                                                                                       controller=sensor-controller,owner-name=oam-to-slack-api,sensor-name=oam-to-slack-api
argo                argo-server                                 1/1     1            1           287d    argo-server                          quay.io/argoproj/argocli:v3.5.5                                                                                                                                                                                                                           app=argo-server
argo                workflow-controller                         1/1     1            1           287d    workflow-controller                  quay.io/argoproj/workflow-controller:v3.5.0                                                                                                                                                                                                               app=workflow-controller
argocd              argocd-applicationset-controller            1/1     1            1           287d    argocd-applicationset-controller     quay.io/argoproj/argocd:v3.1.0                                                                                                                                                                                                                            app.kubernetes.io/name=argocd-applicationset-controller
argocd              argocd-dex-server                           1/1     1            1           287d    dex                                  ghcr.io/dexidp/dex:v2.43.0                                                                                                                                                                                                                                app.kubernetes.io/name=argocd-dex-server
argocd              argocd-notifications-controller             1/1     1            1           287d    argocd-notifications-controller      quay.io/argoproj/argocd:v3.1.0                                                                                                                                                                                                                            app.kubernetes.io/name=argocd-notifications-controller
argocd              argocd-redis                                1/1     1            1           287d    redis                                public.ecr.aws/docker/library/redis:7.2.7-alpine                                                                                                                                                                                                          app.kubernetes.io/name=argocd-redis
argocd              argocd-repo-server                          1/1     1            1           287d    argocd-repo-server                   quay.io/argoproj/argocd:v3.1.0                                                                                                                                                                                                                            app.kubernetes.io/name=argocd-repo-server
argocd              argocd-server                               1/1     1            1           287d    argocd-server                        quay.io/argoproj/argocd:v3.1.0                                                                                                                                                                                                                            app.kubernetes.io/name=argocd-server
calico-system       calico-kube-controllers                     1/1     1            1           287d    calico-kube-controllers              mcr.microsoft.com/mirror/quay/calico/kube-controllers:v3.28.5                                                                                                                                                                                             k8s-app=calico-kube-controllers
calico-system       calico-typha                                3/3     3            3           287d    calico-typha                         mcr.microsoft.com/mirror/quay/calico/typha:v3.28.5                                                                                                                                                                                                        k8s-app=calico-typha
crossplane-system   crossplane                                  1/1     1            1           286d    crossplane                           xpkg.upbound.io/crossplane/crossplane:v1.17.2                                                                                                                                                                                                             app=crossplane,release=crossplane
crossplane-system   crossplane-rbac-manager                     1/1     1            1           286d    crossplane                           xpkg.upbound.io/crossplane/crossplane:v1.17.2                                                                                                                                                                                                             app=crossplane-rbac-manager,release=crossplane
crossplane-system   provider-aws-447dacb385f5                   1/1     1            1           286d    package-runtime                      xpkg.upbound.io/crossplane-contrib/provider-aws:v0.43.0                                                                                                                                                                                                   pkg.crossplane.io/provider=provider-aws,pkg.crossplane.io/revision=provider-aws-447dacb385f5
crossplane-system   provider-helm-b4cc4c2c8db3                  1/1     1            1           286d    package-runtime                      xpkg.upbound.io/crossplane-contrib/provider-helm:v0.16.0                                                                                                                                                                                                  pkg.crossplane.io/provider=provider-helm,pkg.crossplane.io/revision=provider-helm-b4cc4c2c8db3
crossplane-system   provider-kubernetes-101d5a6d80d3            1/1     1            1           286d    package-runtime                      xpkg.upbound.io/crossplane-contrib/provider-kubernetes:v0.14.1                                                                                                                                                                                            pkg.crossplane.io/provider=provider-kubernetes,pkg.crossplane.io/revision=provider-kubernetes-101d5a6d80d3
