NAMESPACE           NAME                                                        READY   STATUS             RESTARTS          AGE     IP             NODE                                NOMINATED NODE   READINESS GATES
argo-events         controller-manager-6fb4db6b48-vzbj2                         1/1     Running            27 (3d15h ago)    148d    10.224.0.122   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argo-events         eventbus-default-stan-0                                     2/2     Running            0                 3d19h   10.224.0.41    aks-nodepool1-16479510-vmss00001r   <none>           <none>
argo-events         events-webhook-6bbdc65d6-ppvmh                              1/1     Running            0                 148d    10.224.0.113   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argo-events         oam-application-watcher-eventsource-lqg4k-5759ff4bb-sh2b8   0/1     CrashLoopBackOff   4 (61s ago)       3m13s   10.224.0.52    aks-nodepool1-16479510-vmss00001s   <none>           <none>
argo-events         oam-to-slack-api-sensor-m2qtj-74fd9d94b9-hs8bc              0/1     CrashLoopBackOff   4 (62s ago)       3m13s   10.224.0.50    aks-nodepool1-16479510-vmss00001s   <none>           <none>
argo                argo-server-68d4cf5f79-br6hw                                1/1     Running            0                 148d    10.224.0.120   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argo                oam-apply-j7kvx-create-argocd-application-1021963167        0/2     Completed          0                 3m34s   10.224.0.91    aks-nodepool1-16479510-vmss00001t   <none>           <none>
argo                oam-apply-j7kvx-validate-oam-2349629090                     0/2     Completed          0                 3m44s   10.224.0.79    aks-nodepool1-16479510-vmss00001t   <none>           <none>
argo                oam-apply-mgn4m-create-argocd-application-1236160310        0/2     Completed          0                 33m     10.224.0.125   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argo                oam-apply-mgn4m-validate-oam-3915106713                     0/2     Completed          0                 33m     10.224.0.107   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argo                workflow-controller-6d84c84db5-xx2q2                        1/1     Running            31 (3d15h ago)    148d    10.224.0.109   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argocd              argocd-application-controller-0                             1/1     Running            0                 3d18h   10.224.0.51    aks-nodepool1-16479510-vmss00001s   <none>           <none>
argocd              argocd-applicationset-controller-7d78f7f8b9-mpjgn           1/1     Running            0                 148d    10.224.0.121   aks-nodepool1-16479510-vmss00001q   <none>           <none>
argocd              argocd-dex-server-546bcf4b75-z96kn                          1/1     Running            0                 148d    10.224.0.137   aks-nodepool1-16479510-vmss00001p   <none>           <none>
argocd              argocd-notifications-controller-56f87565c7-shwjm            1/1     Running            0                 148d    10.224.0.131   aks-nodepool1-16479510-vmss00001p   <none>           <none>
argocd              argocd-redis-8484b97d48-chktp                               1/1     Running            0                 148d    10.224.0.17    aks-nodepool1-16479510-vmss00001p   <none>           <none>
argocd              argocd-repo-server-7557bb997-vnbzk                          1/1     Running            0                 3d18h   10.224.0.80    aks-nodepool1-16479510-vmss00001t   <none>           <none>
argocd              argocd-server-6b54fc95c-x7fwx                               1/1     Running            0                 148d    10.224.0.144   aks-nodepool1-16479510-vmss00001p   <none>           <none>
calico-system       calico-kube-controllers-6687bcfb74-5vhx5                    1/1     Running            4 (3d18h ago)     148d    10.224.0.103   aks-nodepool1-16479510-vmss00001q   <none>           <none>
calico-system       calico-node-9ldv4                                           1/1     Running            0                 3d19h   10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
calico-system       calico-node-bmwgc                                           1/1     Running            0                 3d18h   10.224.0.73    aks-nodepool1-16479510-vmss00001t   <none>           <none>
calico-system       calico-node-kj55l                                           1/1     Running            0                 3d18h   10.224.0.47    aks-nodepool1-16479510-vmss00001s   <none>           <none>
calico-system       calico-node-n9xx7                                           1/1     Running            0                 3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
calico-system       calico-node-qsvn9                                           1/1     Running            0                 3d19h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
calico-system       calico-typha-84f69d58cb-99vnq                               1/1     Running            0                 148d    10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
calico-system       calico-typha-84f69d58cb-ng48s                               1/1     Running            0                 3d18h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
calico-system       calico-typha-84f69d58cb-zhn74                               1/1     Running            0                 148d    10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
crossplane-system   crossplane-8449bf974c-7rf9d                                 1/1     Running            11 (3d15h ago)    148d    10.224.0.136   aks-nodepool1-16479510-vmss00001p   <none>           <none>
crossplane-system   crossplane-rbac-manager-b7b76bf9f-gqx9w                     1/1     Running            27 (3d15h ago)    148d    10.224.0.14    aks-nodepool1-16479510-vmss00001p   <none>           <none>
crossplane-system   provider-aws-447dacb385f5-6ff4dd8679-khzmh                  1/1     Running            0                 148d    10.224.0.146   aks-nodepool1-16479510-vmss00001p   <none>           <none>
crossplane-system   provider-helm-b4cc4c2c8db3-bdb45dc99-f2dbk                  1/1     Running            0                 148d    10.224.0.16    aks-nodepool1-16479510-vmss00001p   <none>           <none>
crossplane-system   provider-kubernetes-101d5a6d80d3-7858c79b58-2fwvv           1/1     Running            0                 148d    10.224.0.143   aks-nodepool1-16479510-vmss00001p   <none>           <none>
crossplane-system   provider-upjet-github-42e598a5d0d4-b966cfdfb-pnp6b          1/1     Running            0                 3d17h   10.224.0.56    aks-nodepool1-16479510-vmss00001s   <none>           <none>
default             api-gitops-creator-jl9j9                                    0/1     CrashLoopBackOff   223 (93s ago)     18h     10.224.0.75    aks-nodepool1-16479510-vmss00001t   <none>           <none>
default             api-gitops-setup-ggb7x                                      0/1     CrashLoopBackOff   224 (4m3s ago)    18h     10.224.0.84    aks-nodepool1-16479510-vmss00001t   <none>           <none>
default             api-microservice-creator-qm767                              0/1     CrashLoopBackOff   223 (75s ago)     18h     10.224.0.87    aks-nodepool1-16479510-vmss00001t   <none>           <none>
default             api-oam-updater-5r8l7                                       0/1     CrashLoopBackOff   222 (2m29s ago)   18h     10.224.0.108   aks-nodepool1-16479510-vmss00001q   <none>           <none>
default             api-repo-sync-n6frc                                         1/1     Running            163 (7m47s ago)   18h     10.224.0.119   aks-nodepool1-16479510-vmss00001q   <none>           <none>
default             approve-pr-00001-deployment-7d68b45bff-q2448                2/2     Running            0                 42h     10.224.0.78    aks-nodepool1-16479510-vmss00001t   <none>           <none>
default             capability-factory-mcp-00002-deployment-7ccfdf9997-bpq4x    2/2     Running            0                 2d16h   10.224.0.9     aks-nodepool1-16479510-vmss00001t   <none>           <none>
default             data-analytices-service-source-setup-4lbwf                  0/1     CrashLoopBackOff   222 (3m58s ago)   18h     10.224.0.44    aks-nodepool1-16479510-vmss00001r   <none>           <none>
default             govern-opa-00002-deployment-6567d94b88-kzqmz                2/2     Running            0                 43h     10.224.0.74    aks-nodepool1-16479510-vmss00001t   <none>           <none>
default             observe-audit-sink-00001-deployment-f77f794f5-wddz2         2/2     Running            0                 42h     10.224.0.72    aks-nodepool1-16479510-vmss00001s   <none>           <none>
default             slack-api-server-00018-deployment-6566fb8494-2b4dw          2/2     Running            0                 13h     10.224.0.61    aks-nodepool1-16479510-vmss00001s   <none>           <none>
external-secrets    external-secrets-74865fd58-rk28t                            1/1     Running            0                 148d    10.224.0.141   aks-nodepool1-16479510-vmss00001p   <none>           <none>
external-secrets    external-secrets-cert-controller-6dcc8d757f-kpqqz           1/1     Running            0                 148d    10.224.0.129   aks-nodepool1-16479510-vmss00001p   <none>           <none>
external-secrets    external-secrets-webhook-785c455449-9gkdw                   1/1     Running            0                 148d    10.224.0.15    aks-nodepool1-16479510-vmss00001p   <none>           <none>
istio-system        istio-ingressgateway-9c64cc959-vr29n                        1/1     Running            0                 148d    10.224.0.135   aks-nodepool1-16479510-vmss00001p   <none>           <none>
istio-system        istiod-5f696b687d-dlxw2                                     1/1     Running            0                 148d    10.224.0.134   aks-nodepool1-16479510-vmss00001p   <none>           <none>
knative-serving     activator-577c5bf58-6hch7                                   1/1     Running            1 (3d19h ago)     148d    10.224.0.43    aks-nodepool1-16479510-vmss00001r   <none>           <none>
knative-serving     autoscaler-6d76d8c58b-8l7mh                                 1/1     Running            0                 148d    10.224.0.39    aks-nodepool1-16479510-vmss00001r   <none>           <none>
knative-serving     controller-597cd8bb8d-dg9rq                                 1/1     Running            0                 148d    10.224.0.23    aks-nodepool1-16479510-vmss00001r   <none>           <none>
knative-serving     net-istio-controller-8d5545f56-z6qjs                        1/1     Running            0                 148d    10.224.0.132   aks-nodepool1-16479510-vmss00001p   <none>           <none>
knative-serving     net-istio-webhook-84c6b7f675-ghttj                          1/1     Running            0                 148d    10.224.0.18    aks-nodepool1-16479510-vmss00001p   <none>           <none>
knative-serving     webhook-68bbf479fd-92g65                                    1/1     Running            0                 148d    10.224.0.38    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         azure-ip-masq-agent-5kpbs                                   1/1     Running            0                 3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         azure-ip-masq-agent-ccnqv                                   1/1     Running            0                 3d18h   10.224.0.47    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         azure-ip-masq-agent-fsnpj                                   1/1     Running            0                 3d19h   10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
kube-system         azure-ip-masq-agent-t7w5d                                   1/1     Running            0                 3d19h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         azure-ip-masq-agent-z4s5q                                   1/1     Running            0                 3d18h   10.224.0.73    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         azure-wi-webhook-controller-manager-6c455f4776-44tx4        1/1     Running            0                 2d16h   10.224.0.83    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         azure-wi-webhook-controller-manager-6c455f4776-jdk5q        1/1     Running            0                 2d16h   10.224.0.49    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         cloud-node-manager-25gz2                                    1/1     Running            0                 3d18h   10.224.0.73    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         cloud-node-manager-6nc7g                                    1/1     Running            0                 3d19h   10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
kube-system         cloud-node-manager-9f9j2                                    1/1     Running            0                 3d19h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         cloud-node-manager-htvwz                                    1/1     Running            0                 3d18h   10.224.0.47    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         cloud-node-manager-ldl9t                                    1/1     Running            0                 3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         coredns-autoscaler-75c86446db-p4hkh                         1/1     Running            0                 3d18h   10.224.0.76    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         coredns-c8dcd8796-bq6p6                                     1/1     Running            0                 3d19h   10.224.0.102   aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         coredns-c8dcd8796-drk4p                                     1/1     Running            0                 3d19h   10.224.0.123   aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         csi-azuredisk-node-8598w                                    3/3     Running            0                 3d18h   10.224.0.47    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         csi-azuredisk-node-8wbtr                                    3/3     Running            0                 3d19h   10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
kube-system         csi-azuredisk-node-cdztz                                    3/3     Running            0                 3d18h   10.224.0.73    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         csi-azuredisk-node-wwpx2                                    3/3     Running            0                 3d19h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         csi-azuredisk-node-xffjq                                    3/3     Running            0                 3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         csi-azurefile-node-7d8bv                                    3/3     Running            0                 3d19h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         csi-azurefile-node-dbfb9                                    3/3     Running            0                 3d18h   10.224.0.47    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         csi-azurefile-node-lmkw6                                    3/3     Running            0                 3d18h   10.224.0.73    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         csi-azurefile-node-lrbbb                                    3/3     Running            0                 3d19h   10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
kube-system         csi-azurefile-node-s8pkb                                    3/3     Running            0                 3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         konnectivity-agent-76d4b6fcff-89mcz                         1/1     Running            0                 2d16h   10.224.0.62    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         konnectivity-agent-76d4b6fcff-9jd7t                         1/1     Running            0                 2d16h   10.224.0.8     aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         konnectivity-agent-autoscaler-546487f466-sj758              1/1     Running            6 (3d18h ago)     3d18h   10.224.0.5     aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         kube-proxy-dgzp6                                            1/1     Running            0                 3d19h   10.224.0.126   aks-nodepool1-16479510-vmss00001p   <none>           <none>
kube-system         kube-proxy-dmxlm                                            1/1     Running            0                 3d18h   10.224.0.47    aks-nodepool1-16479510-vmss00001s   <none>           <none>
kube-system         kube-proxy-n2jcs                                            1/1     Running            0                 3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
kube-system         kube-proxy-r4wxb                                            1/1     Running            0                 3d18h   10.224.0.73    aks-nodepool1-16479510-vmss00001t   <none>           <none>
kube-system         kube-proxy-t6m2h                                            1/1     Running            0                 3d19h   10.224.0.19    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         metrics-server-5448f98c68-f5b66                             2/2     Running            0                 3d18h   10.224.0.35    aks-nodepool1-16479510-vmss00001r   <none>           <none>
kube-system         metrics-server-5448f98c68-tkgp4                             2/2     Running            0                 3d18h   10.224.0.24    aks-nodepool1-16479510-vmss00001r   <none>           <none>
search              searxng-b747f6665-x9nwn                                     1/1     Running            0                 2d14h   10.224.0.65    aks-nodepool1-16479510-vmss00001s   <none>           <none>
tigera-operator     tigera-operator-799c8cc79-6bfz6                             1/1     Running            35 (3d15h ago)    3d19h   10.224.0.10    aks-nodepool1-16479510-vmss00001q   <none>           <none>
vela-system         kubevela-cluster-gateway-76dc5d76b-7s2gj                    1/1     Running            0                 148d    10.224.0.4     aks-nodepool1-16479510-vmss00001r   <none>           <none>
vela-system         kubevela-vela-core-75c8c499d6-hshqs                         1/1     Running            29 (2d14h ago)    148d    10.224.0.25    aks-nodepool1-16479510-vmss00001r   <none>           <none>
